Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Cluster beans,Ammapet(Uzhavar Sandhai ),12.52,-60.89
2025-03-08,Saturday,Cluster beans,Ammapet(Uzhavar Sandhai ),10.05,-68.59
2025-03-09,Sunday,Cluster beans,Ammapet(Uzhavar Sandhai ),10.05,-68.59
2025-03-10,Monday,Cluster beans,Ammapet(Uzhavar Sandhai ),10.12,-68.36
2025-03-11,Tuesday,Cluster beans,Ammapet(Uzhavar Sandhai ),10.17,-68.21
2025-03-12,Wednesday,Cluster beans,Ammapet(Uzhavar Sandhai ),10.18,-68.19
2025-03-13,Thursday,Cluster beans,Ammapet(Uzhavar Sandhai ),10.17,-68.21
2025-03-07,Friday,Cluster beans,Athur(Uzhavar Sandhai ),12.46,-64.4
2025-03-08,Saturday,Cluster beans,Athur(Uzhavar Sandhai ),9.76,-72.12
2025-03-09,Sunday,Cluster beans,Athur(Uzhavar Sandhai ),9.76,-72.11
2025-03-10,Monday,Cluster beans,Athur(Uzhavar Sandhai ),9.82,-71.93
2025-03-11,Tuesday,Cluster beans,Athur(Uzhavar Sandhai ),9.87,-71.8
2025-03-12,Wednesday,Cluster beans,Athur(Uzhavar Sandhai ),9.88,-71.78
2025-03-13,Thursday,Cluster beans,Athur(Uzhavar Sandhai ),9.89,-71.75
2025-03-07,Friday,Cluster beans,Attayampatti(Uzhavar Sandhai ),12.48,-61.01
2025-03-08,Saturday,Cluster beans,Attayampatti(Uzhavar Sandhai ),10.99,-65.66
2025-03-09,Sunday,Cluster beans,Attayampatti(Uzhavar Sandhai ),10.99,-65.65
2025-03-10,Monday,Cluster beans,Attayampatti(Uzhavar Sandhai ),10.99,-65.66
2025-03-11,Tuesday,Cluster beans,Attayampatti(Uzhavar Sandhai ),11.04,-65.51
2025-03-12,Wednesday,Cluster beans,Attayampatti(Uzhavar Sandhai ),11.04,-65.5
2025-03-13,Thursday,Cluster beans,Attayampatti(Uzhavar Sandhai ),11.03,-65.53
2025-03-07,Friday,Cluster beans,Edapadi (Uzhavar Sandhai ),12.48,-61.01
2025-03-08,Saturday,Cluster beans,Edapadi (Uzhavar Sandhai ),10.31,-67.79
2025-03-09,Sunday,Cluster beans,Edapadi (Uzhavar Sandhai ),10.31,-67.79
2025-03-10,Monday,Cluster beans,Edapadi (Uzhavar Sandhai ),10.38,-67.56
2025-03-11,Tuesday,Cluster beans,Edapadi (Uzhavar Sandhai ),10.43,-67.41
2025-03-12,Wednesday,Cluster beans,Edapadi (Uzhavar Sandhai ),10.44,-67.38
2025-03-13,Thursday,Cluster beans,Edapadi (Uzhavar Sandhai ),10.43,-67.41
2025-03-07,Friday,Cluster beans,Elampillai(Uzhavar Sandhai ),12.45,-64.43
2025-03-08,Saturday,Cluster beans,Elampillai(Uzhavar Sandhai ),10.38,-70.35
2025-03-09,Sunday,Cluster beans,Elampillai(Uzhavar Sandhai ),10.38,-70.35
2025-03-10,Monday,Cluster beans,Elampillai(Uzhavar Sandhai ),10.37,-70.37
2025-03-11,Tuesday,Cluster beans,Elampillai(Uzhavar Sandhai ),10.42,-70.23
2025-03-12,Wednesday,Cluster beans,Elampillai(Uzhavar Sandhai ),10.42,-70.22
2025-03-13,Thursday,Cluster beans,Elampillai(Uzhavar Sandhai ),10.42,-70.24
2025-03-07,Friday,Cluster beans,Hasthampatti(Uzhavar Sandhai ),12.62,-63.93
2025-03-08,Saturday,Cluster beans,Hasthampatti(Uzhavar Sandhai ),9.99,-71.46
2025-03-09,Sunday,Cluster beans,Hasthampatti(Uzhavar Sandhai ),9.99,-71.44
2025-03-10,Monday,Cluster beans,Hasthampatti(Uzhavar Sandhai ),10.06,-71.26
2025-03-11,Tuesday,Cluster beans,Hasthampatti(Uzhavar Sandhai ),10.1,-71.13
2025-03-12,Wednesday,Cluster beans,Hasthampatti(Uzhavar Sandhai ),10.11,-71.11
2025-03-13,Thursday,Cluster beans,Hasthampatti(Uzhavar Sandhai ),10.12,-71.08
2025-03-07,Friday,Cluster beans,Jalagandapuram(Uzhavar Sandhai ),12.5,-60.94
2025-03-08,Saturday,Cluster beans,Jalagandapuram(Uzhavar Sandhai ),9.86,-69.19
2025-03-09,Sunday,Cluster beans,Jalagandapuram(Uzhavar Sandhai ),9.86,-69.19
2025-03-10,Monday,Cluster beans,Jalagandapuram(Uzhavar Sandhai ),9.93,-68.98
2025-03-11,Tuesday,Cluster beans,Jalagandapuram(Uzhavar Sandhai ),9.98,-68.82
2025-03-12,Wednesday,Cluster beans,Jalagandapuram(Uzhavar Sandhai ),9.98,-68.8
2025-03-13,Thursday,Cluster beans,Jalagandapuram(Uzhavar Sandhai ),9.99,-68.77
2025-03-07,Friday,Cluster beans,Mettur(Uzhavar Sandhai ),12.43,-58.57
2025-03-08,Saturday,Cluster beans,Mettur(Uzhavar Sandhai ),9.99,-66.72
2025-03-09,Sunday,Cluster beans,Mettur(Uzhavar Sandhai ),9.99,-66.7
2025-03-10,Monday,Cluster beans,Mettur(Uzhavar Sandhai ),10.05,-66.49
2025-03-11,Tuesday,Cluster beans,Mettur(Uzhavar Sandhai ),10.1,-66.33
2025-03-12,Wednesday,Cluster beans,Mettur(Uzhavar Sandhai ),10.11,-66.31
2025-03-13,Thursday,Cluster beans,Mettur(Uzhavar Sandhai ),10.12,-66.28
2025-03-07,Friday,Cluster beans,Sooramangalam(Uzhavar Sandhai ),12.6,-60.64
2025-03-08,Saturday,Cluster beans,Sooramangalam(Uzhavar Sandhai ),9.97,-68.86
2025-03-09,Sunday,Cluster beans,Sooramangalam(Uzhavar Sandhai ),9.97,-68.85
2025-03-10,Monday,Cluster beans,Sooramangalam(Uzhavar Sandhai ),10.03,-68.66
2025-03-11,Tuesday,Cluster beans,Sooramangalam(Uzhavar Sandhai ),10.08,-68.51
2025-03-12,Wednesday,Cluster beans,Sooramangalam(Uzhavar Sandhai ),10.08,-68.49
2025-03-13,Thursday,Cluster beans,Sooramangalam(Uzhavar Sandhai ),10.09,-68.46
2025-03-07,Friday,Cluster beans,Thammampatti (Uzhavar Sandhai ),12.52,-60.86
2025-03-08,Saturday,Cluster beans,Thammampatti (Uzhavar Sandhai ),11.03,-65.53
2025-03-09,Sunday,Cluster beans,Thammampatti (Uzhavar Sandhai ),11.03,-65.52
2025-03-10,Monday,Cluster beans,Thammampatti (Uzhavar Sandhai ),11.03,-65.54
2025-03-11,Tuesday,Cluster beans,Thammampatti (Uzhavar Sandhai ),11.07,-65.4
2025-03-12,Wednesday,Cluster beans,Thammampatti (Uzhavar Sandhai ),11.08,-65.37
2025-03-13,Thursday,Cluster beans,Thammampatti (Uzhavar Sandhai ),11.07,-65.4
2025-03-07,Friday,Cluster beans,Thathakapatti(Uzhavar Sandhai ),12.4,-58.67
2025-03-08,Saturday,Cluster beans,Thathakapatti(Uzhavar Sandhai ),9.98,-66.73
2025-03-09,Sunday,Cluster beans,Thathakapatti(Uzhavar Sandhai ),9.98,-66.72
2025-03-10,Monday,Cluster beans,Thathakapatti(Uzhavar Sandhai ),10.05,-66.51
2025-03-11,Tuesday,Cluster beans,Thathakapatti(Uzhavar Sandhai ),10.09,-66.36
2025-03-12,Wednesday,Cluster beans,Thathakapatti(Uzhavar Sandhai ),10.1,-66.33
2025-03-13,Thursday,Cluster beans,Thathakapatti(Uzhavar Sandhai ),10.11,-66.3
2025-03-07,Friday,Beans,Ammapet(Uzhavar Sandhai ),26.62,-55.64
2025-03-08,Saturday,Beans,Ammapet(Uzhavar Sandhai ),25.26,-57.9
2025-03-09,Sunday,Beans,Ammapet(Uzhavar Sandhai ),24.87,-58.55
2025-03-10,Monday,Beans,Ammapet(Uzhavar Sandhai ),24.79,-58.69
2025-03-11,Tuesday,Beans,Ammapet(Uzhavar Sandhai ),24.79,-58.69
2025-03-12,Wednesday,Beans,Ammapet(Uzhavar Sandhai ),24.79,-58.68
2025-03-13,Thursday,Beans,Ammapet(Uzhavar Sandhai ),24.77,-58.71
2025-03-07,Friday,Beans,Athur(Uzhavar Sandhai ),37.48,-37.54
2025-03-08,Saturday,Beans,Athur(Uzhavar Sandhai ),35.99,-40.01
2025-03-09,Sunday,Beans,Athur(Uzhavar Sandhai ),35.68,-40.54
2025-03-10,Monday,Beans,Athur(Uzhavar Sandhai ),35.54,-40.77
2025-03-11,Tuesday,Beans,Athur(Uzhavar Sandhai ),35.44,-40.93
2025-03-12,Wednesday,Beans,Athur(Uzhavar Sandhai ),35.44,-40.93
2025-03-13,Thursday,Beans,Athur(Uzhavar Sandhai ),35.44,-40.94
2025-03-07,Friday,Beans,Attayampatti(Uzhavar Sandhai ),63.52,-9.25
2025-03-08,Saturday,Beans,Attayampatti(Uzhavar Sandhai ),63.25,-9.64
2025-03-09,Sunday,Beans,Attayampatti(Uzhavar Sandhai ),63.25,-9.65
2025-03-10,Monday,Beans,Attayampatti(Uzhavar Sandhai ),63.24,-9.65
2025-03-11,Tuesday,Beans,Attayampatti(Uzhavar Sandhai ),63.25,-9.65
2025-03-12,Wednesday,Beans,Attayampatti(Uzhavar Sandhai ),63.25,-9.64
2025-03-13,Thursday,Beans,Attayampatti(Uzhavar Sandhai ),63.25,-9.64
2025-03-07,Friday,Beans,Edapadi (Uzhavar Sandhai ),49.97,-23.12
2025-03-08,Saturday,Beans,Edapadi (Uzhavar Sandhai ),49.48,-23.88
2025-03-09,Sunday,Beans,Edapadi (Uzhavar Sandhai ),49.41,-23.99
2025-03-10,Monday,Beans,Edapadi (Uzhavar Sandhai ),49.4,-23.99
2025-03-11,Tuesday,Beans,Edapadi (Uzhavar Sandhai ),49.41,-23.99
2025-03-12,Wednesday,Beans,Edapadi (Uzhavar Sandhai ),49.41,-23.99
2025-03-13,Thursday,Beans,Edapadi (Uzhavar Sandhai ),49.4,-23.99
2025-03-07,Friday,Beans,Elampillai(Uzhavar Sandhai ),59.63,-14.81
2025-03-08,Saturday,Beans,Elampillai(Uzhavar Sandhai ),59.29,-15.3
2025-03-09,Sunday,Beans,Elampillai(Uzhavar Sandhai ),59.3,-15.28
2025-03-10,Monday,Beans,Elampillai(Uzhavar Sandhai ),59.3,-15.29
2025-03-11,Tuesday,Beans,Elampillai(Uzhavar Sandhai ),59.3,-15.29
2025-03-12,Wednesday,Beans,Elampillai(Uzhavar Sandhai ),59.3,-15.28
2025-03-13,Thursday,Beans,Elampillai(Uzhavar Sandhai ),59.3,-15.28
2025-03-07,Friday,Beans,Hasthampatti(Uzhavar Sandhai ),38.16,-45.49
2025-03-08,Saturday,Beans,Hasthampatti(Uzhavar Sandhai ),36.63,-47.68
2025-03-09,Sunday,Beans,Hasthampatti(Uzhavar Sandhai ),36.2,-48.28
2025-03-10,Monday,Beans,Hasthampatti(Uzhavar Sandhai ),36.16,-48.35
2025-03-11,Tuesday,Beans,Hasthampatti(Uzhavar Sandhai ),36.16,-48.35
2025-03-12,Wednesday,Beans,Hasthampatti(Uzhavar Sandhai ),36.16,-48.34
2025-03-13,Thursday,Beans,Hasthampatti(Uzhavar Sandhai ),36.16,-48.35
2025-03-07,Friday,Beans,Mettur(Uzhavar Sandhai ),34.09,-43.19
2025-03-08,Saturday,Beans,Mettur(Uzhavar Sandhai ),33.22,-44.63
2025-03-09,Sunday,Beans,Mettur(Uzhavar Sandhai ),33.12,-44.8
2025-03-10,Monday,Beans,Mettur(Uzhavar Sandhai ),33.12,-44.8
2025-03-11,Tuesday,Beans,Mettur(Uzhavar Sandhai ),33.12,-44.8
2025-03-12,Wednesday,Beans,Mettur(Uzhavar Sandhai ),33.12,-44.8
2025-03-13,Thursday,Beans,Mettur(Uzhavar Sandhai ),33.12,-44.8
2025-03-07,Friday,Beans,Thammampatti (Uzhavar Sandhai ),39.69,-33.84
2025-03-08,Saturday,Beans,Thammampatti (Uzhavar Sandhai ),38.78,-35.36
2025-03-09,Sunday,Beans,Thammampatti (Uzhavar Sandhai ),38.7,-35.49
2025-03-10,Monday,Beans,Thammampatti (Uzhavar Sandhai ),38.69,-35.51
2025-03-11,Tuesday,Beans,Thammampatti (Uzhavar Sandhai ),38.7,-35.51
2025-03-12,Wednesday,Beans,Thammampatti (Uzhavar Sandhai ),38.7,-35.5
2025-03-13,Thursday,Beans,Thammampatti (Uzhavar Sandhai ),38.69,-35.51
2025-03-07,Friday,Beans,Jalagandapuram(Uzhavar Sandhai ),44.01,-26.65
