Date,Day,Commodity,Market,Predicted_Price,Price_Change_Pct_From_Last_Actual
2025-03-07,Friday,Cluster beans,Ammapet(Uzhavar Sandhai ),33.03,3.22
2025-03-08,Saturday,Cluster beans,Ammapet(Uzhavar Sandhai ),33.03,3.21
2025-03-09,Sunday,Cluster beans,Ammapet(Uzhavar Sandhai ),33.03,3.21
2025-03-10,Monday,Cluster beans,Ammapet(Uzhavar Sandhai ),33.02,3.2
2025-03-11,Tuesday,Cluster beans,Ammapet(Uzhavar Sandhai ),33.03,3.21
2025-03-12,Wednesday,Cluster beans,Ammapet(Uzhavar Sandhai ),33.03,3.21
2025-03-13,Thursday,Cluster beans,Ammapet(Uzhavar Sandhai ),33.03,3.21
2025-03-07,Friday,Cluster beans,Athur(Uzhavar Sandhai ),36.4,3.99
2025-03-08,Saturday,Cluster beans,Athur(Uzhavar Sandhai ),36.4,3.99
2025-03-09,Sunday,Cluster beans,Athur(Uzhavar Sandhai ),36.4,3.99
2025-03-10,Monday,Cluster beans,Athur(Uzhavar Sandhai ),36.39,3.98
2025-03-11,Tuesday,Cluster beans,Athur(Uzhavar Sandhai ),36.4,3.99
2025-03-12,Wednesday,Cluster beans,Athur(Uzhavar Sandhai ),36.4,3.99
2025-03-13,Thursday,Cluster beans,Athur(Uzhavar Sandhai ),36.4,3.99
2025-03-07,Friday,Cluster beans,Attayampatti(Uzhavar Sandhai ),33.83,5.72
2025-03-08,Saturday,Cluster beans,Attayampatti(Uzhavar Sandhai ),33.83,5.71
2025-03-09,Sunday,Cluster beans,Attayampatti(Uzhavar Sandhai ),33.83,5.71
2025-03-10,Monday,Cluster beans,Attayampatti(Uzhavar Sandhai ),33.82,5.69
2025-03-11,Tuesday,Cluster beans,Attayampatti(Uzhavar Sandhai ),33.82,5.7
2025-03-12,Wednesday,Cluster beans,Attayampatti(Uzhavar Sandhai ),33.83,5.71
2025-03-13,Thursday,Cluster beans,Attayampatti(Uzhavar Sandhai ),33.83,5.7
2025-03-07,Friday,Cluster beans,Edapadi (Uzhavar Sandhai ),34.42,7.56
2025-03-08,Saturday,Cluster beans,Edapadi (Uzhavar Sandhai ),34.42,7.56
2025-03-09,Sunday,Cluster beans,Edapadi (Uzhavar Sandhai ),34.42,7.56
2025-03-10,Monday,Cluster beans,Edapadi (Uzhavar Sandhai ),34.41,7.53
2025-03-11,Tuesday,Cluster beans,Edapadi (Uzhavar Sandhai ),34.42,7.55
2025-03-12,Wednesday,Cluster beans,Edapadi (Uzhavar Sandhai ),34.42,7.56
2025-03-13,Thursday,Cluster beans,Edapadi (Uzhavar Sandhai ),34.42,7.56
2025-03-07,Friday,Cluster beans,Elampillai(Uzhavar Sandhai ),36.39,3.98
2025-03-08,Saturday,Cluster beans,Elampillai(Uzhavar Sandhai ),36.39,3.98
2025-03-09,Sunday,Cluster beans,Elampillai(Uzhavar Sandhai ),36.39,3.98
2025-03-10,Monday,Cluster beans,Elampillai(Uzhavar Sandhai ),36.39,3.96
2025-03-11,Tuesday,Cluster beans,Elampillai(Uzhavar Sandhai ),36.39,3.98
2025-03-12,Wednesday,Cluster beans,Elampillai(Uzhavar Sandhai ),36.39,3.97
2025-03-13,Thursday,Cluster beans,Elampillai(Uzhavar Sandhai ),36.39,3.98
